checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
less 0,24,all paid,radio/tv,1546,less 100,between 4 and 7 years,4,male single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,bad
greater 200,6,delayed previously,radio/tv,683,less 100,less 1 year,2,female div/dep/mar,none,1,life insurance,29,bank,own,1,skilled,1,none,yes,good
between 0 and 200,36,existing paid,new car,12389,no known savings,between 1 and 4 years,1,male single,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,bad
between 0 and 200,24,delayed previously,business,4712,no known savings,between 1 and 4 years,4,male single,none,2,life insurance,37,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,24,delayed previously,radio/tv,1553,between 100 and 500,between 4 and 7 years,3,female div/dep/mar,none,2,life insurance,23,none,rent,2,skilled,1,yes,yes,good
less 0,12,existing paid,new car,1372,less 100,between 4 and 7 years,2,male div/sep,none,3,car,36,none,own,1,skilled,1,none,yes,bad
no checking,24,critical/other existing credit,radio/tv,2578,greater 1000,greater 7 years,2,male single,none,2,car,34,none,own,1,skilled,1,none,yes,good
between 0 and 200,48,existing paid,radio/tv,3979,no known savings,between 4 and 7 years,4,male single,none,1,car,41,none,own,2,skilled,2,yes,yes,good
less 0,48,existing paid,radio/tv,6758,less 100,between 1 and 4 years,3,female div/dep/mar,none,2,car,31,none,own,1,skilled,1,yes,yes,bad
less 0,24,existing paid,furniture/equipment,3234,less 100,less 1 year,4,female div/dep/mar,none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,bad
no checking,30,critical/other existing credit,radio/tv,5954,less 100,between 4 and 7 years,3,male single,co applicant,2,car,38,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,used car,5433,no known savings,unemployed,2,female div/dep/mar,none,4,life insurance,26,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,15,existing paid,business,806,less 100,between 1 and 4 years,4,female div/dep/mar,none,4,life insurance,22,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,9,existing paid,radio/tv,1082,less 100,greater 7 years,4,male single,none,4,car,27,none,own,2,unskilled resident,1,none,yes,good
no checking,15,critical/other existing credit,furniture/equipment,2788,less 100,between 4 and 7 years,2,female div/dep/mar,co applicant,3,car,24,bank,own,2,skilled,1,none,yes,good
between 0 and 200,12,existing paid,radio/tv,2930,less 100,between 4 and 7 years,2,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,24,critical/other existing credit,education,1927,no known savings,between 1 and 4 years,3,female div/dep/mar,none,2,car,33,none,own,2,skilled,1,yes,yes,good
between 0 and 200,36,critical/other existing credit,new car,2820,less 100,less 1 year,4,male div/sep,none,4,car,27,none,own,2,skilled,1,none,yes,bad
no checking,24,existing paid,retraining,937,less 100,less 1 year,4,male mar/wid,none,3,car,27,none,own,2,unskilled resident,1,none,yes,good
between 0 and 200,18,critical/other existing credit,new car,1056,less 100,greater 7 years,3,male single,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,bad
between 0 and 200,12,critical/other existing credit,new car,3124,less 100,less 1 year,1,male single,none,3,real estate,49,bank,own,2,unskilled resident,2,none,yes,good
no checking,9,existing paid,furniture/equipment,1388,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,real estate,26,none,rent,1,skilled,1,none,yes,good
between 0 and 200,36,existing paid,repairs,2384,less 100,less 1 year,4,male single,none,1,no known property,33,none,rent,1,unskilled resident,1,none,yes,bad
no checking,12,existing paid,new car,2133,no known savings,greater 7 years,4,female div/dep/mar,none,4,no known property,52,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,18,existing paid,furniture/equipment,2039,less 100,between 1 and 4 years,1,female div/dep/mar,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,bad
less 0,9,critical/other existing credit,new car,2799,less 100,between 1 and 4 years,2,male single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good
less 0,12,existing paid,furniture/equipment,1289,less 100,between 1 and 4 years,4,male single,guarantor,1,life insurance,21,none,own,1,unskilled resident,1,none,yes,good
less 0,18,existing paid,domestic appliance,1217,less 100,between 1 and 4 years,4,male mar/wid,none,3,real estate,47,none,own,1,unskilled resident,1,yes,yes,bad
less 0,12,critical/other existing credit,furniture/equipment,2246,less 100,greater 7 years,3,male single,none,3,life insurance,60,none,own,2,skilled,1,none,yes,bad
less 0,12,critical/other existing credit,radio/tv,385,less 100,between 4 and 7 years,4,female div/dep/mar,none,3,real estate,58,none,own,4,unskilled resident,1,yes,yes,good
between 0 and 200,24,delayed previously,new car,1965,no known savings,between 1 and 4 years,4,female div/dep/mar,none,4,car,42,none,rent,2,skilled,1,yes,yes,good
no checking,21,existing paid,business,1572,greater 1000,greater 7 years,4,female div/dep/mar,none,4,real estate,36,bank,own,1,unskilled resident,1,none,yes,good
between 0 and 200,24,existing paid,new car,2718,less 100,between 1 and 4 years,3,female div/dep/mar,none,4,life insurance,20,none,rent,1,unskilled resident,1,yes,yes,bad
less 0,24,all paid,other,1358,no known savings,greater 7 years,4,male single,none,3,car,40,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
between 0 and 200,6,all paid,new car,931,between 100 and 500,less 1 year,1,female div/dep/mar,none,1,life insurance,32,stores,own,1,unskilled resident,1,none,yes,bad
less 0,24,existing paid,new car,1442,less 100,between 4 and 7 years,4,female div/dep/mar,none,4,car,23,none,rent,2,skilled,1,none,yes,bad
between 0 and 200,24,no credits/all paid,business,4241,less 100,between 1 and 4 years,1,male single,none,4,real estate,36,none,own,3,unskilled resident,1,yes,yes,bad
no checking,18,critical/other existing credit,new car,2775,less 100,between 4 and 7 years,2,male single,none,2,life insurance,31,bank,own,2,skilled,1,none,yes,bad
no checking,24,delayed previously,business,3863,less 100,between 1 and 4 years,1,male single,none,2,no known property,32,none,for free,1,skilled,1,none,yes,good
between 0 and 200,7,existing paid,radio/tv,2329,less 100,less 1 year,1,female div/dep/mar,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,good
between 0 and 200,9,existing paid,furniture/equipment,918,less 100,between 1 and 4 years,4,female div/dep/mar,none,1,life insurance,30,none,own,1,skilled,1,none,yes,bad
between 0 and 200,24,all paid,education,1837,less 100,between 4 and 7 years,4,female div/dep/mar,none,4,no known property,34,bank,for free,1,unskilled resident,1,none,yes,bad
no checking,36,existing paid,furniture/equipment,3349,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,car,28,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
greater 200,10,existing paid,furniture/equipment,1275,less 100,less 1 year,4,female div/dep/mar,none,2,life insurance,23,none,own,1,skilled,1,none,yes,good
less 0,24,all paid,furniture/equipment,2828,between 500 and 1000,between 1 and 4 years,4,male single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,good
no checking,24,critical/other existing credit,business,4526,less 100,between 1 and 4 years,3,male single,none,2,real estate,74,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,36,existing paid,radio/tv,2671,between 100 and 500,between 1 and 4 years,4,female div/dep/mar,co applicant,4,no known property,50,none,for free,1,skilled,1,none,yes,bad
no checking,18,existing paid,radio/tv,2051,less 100,less 1 year,4,male single,none,1,real estate,33,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,used car,1300,no known savings,greater 7 years,4,male single,none,4,no known property,45,bank,for free,1,skilled,2,none,yes,good
less 0,12,existing paid,domestic appliance,741,between 100 and 500,unemployed,4,female div/dep/mar,none,3,life insurance,22,none,own,1,skilled,1,none,yes,bad
greater 200,10,existing paid,new car,1240,between 100 and 500,greater 7 years,1,female div/dep/mar,none,4,no known property,48,none,for free,1,unskilled resident,2,none,yes,bad
less 0,21,existing paid,radio/tv,3357,greater 1000,less 1 year,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
less 0,24,all paid,used car,3632,less 100,between 1 and 4 years,1,female div/dep/mar,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,good
no checking,18,delayed previously,furniture/equipment,1808,less 100,between 4 and 7 years,4,female div/dep/mar,none,1,real estate,22,none,own,1,skilled,1,none,yes,bad
between 0 and 200,48,no credits/all paid,business,12204,no known savings,between 1 and 4 years,2,male single,none,2,car,48,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,60,delayed previously,radio/tv,9157,no known savings,between 1 and 4 years,2,male single,none,2,no known property,27,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
less 0,6,critical/other existing credit,new car,3676,less 100,between 1 and 4 years,1,male single,none,3,real estate,37,none,rent,3,skilled,2,none,yes,good
between 0 and 200,30,existing paid,furniture/equipment,3441,between 100 and 500,between 1 and 4 years,2,female div/dep/mar,co applicant,4,car,21,none,rent,1,skilled,1,none,yes,bad
no checking,12,existing paid,new car,640,less 100,between 1 and 4 years,4,male div/sep,none,2,real estate,49,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,21,critical/other existing credit,business,3652,less 100,between 4 and 7 years,2,male single,none,3,life insurance,27,none,own,2,skilled,1,none,yes,good
no checking,18,critical/other existing credit,new car,1530,less 100,between 1 and 4 years,3,male single,none,2,life insurance,32,bank,own,2,skilled,1,none,yes,bad
no checking,48,existing paid,business,3914,no known savings,between 1 and 4 years,4,male div/sep,none,2,real estate,38,bank,own,1,skilled,1,none,yes,bad
less 0,12,existing paid,furniture/equipment,1858,less 100,less 1 year,4,female div/dep/mar,none,1,car,22,none,rent,1,skilled,1,none,yes,good
less 0,18,existing paid,radio/tv,2600,less 100,between 1 and 4 years,4,male single,none,4,no known property,65,none,for free,2,skilled,1,none,yes,bad
no checking,15,existing paid,radio/tv,1979,no known savings,greater 7 years,4,male single,none,2,car,35,none,own,1,skilled,1,none,yes,good
greater 200,6,existing paid,furniture/equipment,2116,less 100,between 1 and 4 years,2,male single,none,2,real estate,41,none,own,1,skilled,1,yes,yes,good
between 0 and 200,9,all paid,new car,1437,between 100 and 500,between 4 and 7 years,2,male single,none,3,no known property,29,none,own,1,skilled,1,none,yes,bad
no checking,42,critical/other existing credit,furniture/equipment,4042,between 500 and 1000,between 1 and 4 years,4,male single,none,4,real estate,36,none,own,2,skilled,1,yes,yes,good
no checking,9,existing paid,education,3832,no known savings,greater 7 years,1,male single,none,4,real estate,64,none,own,1,unskilled resident,1,none,yes,good
less 0,24,existing paid,radio/tv,3660,less 100,between 1 and 4 years,2,female div/dep/mar,none,4,car,28,none,own,1,skilled,1,none,yes,good
less 0,18,all paid,furniture/equipment,1553,less 100,between 1 and 4 years,4,male single,none,3,car,44,bank,own,1,skilled,1,none,yes,bad
between 0 and 200,15,existing paid,radio/tv,1444,no known savings,less 1 year,4,male single,none,1,life insurance,23,none,own,1,skilled,1,none,yes,good
no checking,9,existing paid,furniture/equipment,1980,less 100,less 1 year,2,female div/dep/mar,co applicant,2,car,19,none,rent,2,skilled,1,none,yes,bad
between 0 and 200,24,existing paid,new car,1355,less 100,less 1 year,3,female div/dep/mar,none,4,car,25,none,own,1,unskilled resident,1,yes,yes,bad
no checking,12,existing paid,education,1393,less 100,greater 7 years,4,male single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,good
no checking,24,existing paid,radio/tv,1376,between 500 and 1000,between 4 and 7 years,4,female div/dep/mar,none,1,car,28,none,own,1,skilled,1,none,yes,good
no checking,60,delayed previously,radio/tv,15653,less 100,between 4 and 7 years,2,male single,none,4,car,21,none,own,2,skilled,1,yes,yes,good
no checking,12,existing paid,radio/tv,1493,less 100,less 1 year,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,none,yes,good
less 0,42,delayed previously,radio/tv,4370,less 100,between 4 and 7 years,3,male single,none,2,life insurance,26,bank,own,2,skilled,2,yes,yes,bad
less 0,18,existing paid,education,750,less 100,unemployed,4,female div/dep/mar,none,1,real estate,27,none,own,1,unemp/unskilled non res,1,none,yes,bad
between 0 and 200,15,existing paid,repairs,1308,less 100,greater 7 years,4,male single,none,4,car,38,none,own,2,unskilled resident,1,none,yes,good
no checking,15,existing paid,education,4623,between 100 and 500,between 1 and 4 years,3,male single,none,2,life insurance,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,24,critical/other existing credit,radio/tv,1851,less 100,between 4 and 7 years,4,male mar/wid,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,good
less 0,18,critical/other existing credit,radio/tv,1880,less 100,between 4 and 7 years,4,male mar/wid,none,1,life insurance,32,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,36,delayed previously,business,7980,no known savings,less 1 year,4,male single,none,4,car,27,none,rent,2,skilled,1,yes,yes,bad
less 0,30,no credits/all paid,furniture/equipment,4583,less 100,between 1 and 4 years,2,male div/sep,guarantor,2,real estate,32,none,own,2,skilled,1,none,yes,good
no checking,12,existing paid,new car,1386,between 500 and 1000,between 1 and 4 years,2,female div/dep/mar,none,2,life insurance,26,none,own,1,skilled,1,none,yes,bad
greater 200,24,existing paid,new car,947,less 100,between 4 and 7 years,4,male single,none,3,no known property,38,bank,for free,1,skilled,2,none,yes,bad
less 0,12,existing paid,education,684,less 100,between 1 and 4 years,4,male single,none,4,car,40,none,rent,1,unskilled resident,2,none,yes,bad
less 0,48,existing paid,education,7476,less 100,between 4 and 7 years,4,male single,none,1,no known property,50,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,12,existing paid,furniture/equipment,1922,less 100,between 1 and 4 years,4,male single,none,2,life insurance,37,none,own,1,unskilled resident,1,none,yes,bad
less 0,24,existing paid,new car,2303,less 100,greater 7 years,4,male single,co applicant,1,real estate,45,none,own,1,skilled,1,none,yes,bad
between 0 and 200,36,delayed previously,new car,8086,between 100 and 500,greater 7 years,2,male single,none,4,car,42,none,own,4,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,24,critical/other existing credit,used car,2346,less 100,between 4 and 7 years,4,male single,none,3,car,35,none,own,2,skilled,1,yes,yes,good
less 0,14,existing paid,new car,3973,less 100,unemployed,1,male single,none,4,no known property,22,none,for free,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,new car,888,less 100,greater 7 years,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,bad
no checking,48,existing paid,radio/tv,10222,no known savings,between 4 and 7 years,4,male single,none,3,car,37,stores,own,1,skilled,1,yes,yes,good
between 0 and 200,30,no credits/all paid,business,4221,less 100,between 1 and 4 years,2,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,none,yes,good
between 0 and 200,18,critical/other existing credit,furniture/equipment,6361,less 100,greater 7 years,2,male single,none,1,no known property,41,none,own,1,skilled,1,yes,yes,good
greater 200,12,existing paid,radio/tv,1297,less 100,between 1 and 4 years,3,male mar/wid,none,4,real estate,23,none,rent,1,skilled,1,none,yes,good
less 0,12,existing paid,new car,900,no known savings,between 1 and 4 years,4,male mar/wid,none,2,car,23,none,own,1,skilled,1,none,yes,bad
no checking,21,existing paid,furniture/equipment,2241,less 100,greater 7 years,4,male single,none,2,real estate,50,none,own,2,skilled,1,none,yes,good
between 0 and 200,6,delayed previously,furniture/equipment,1050,less 100,unemployed,4,male single,none,1,life insurance,35,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
greater 200,6,critical/other existing credit,education,1047,less 100,between 1 and 4 years,2,female div/dep/mar,none,4,life insurance,50,none,own,1,unskilled resident,1,none,yes,good
no checking,24,critical/other existing credit,other,6314,less 100,unemployed,4,male single,co applicant,2,no known property,27,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,30,all paid,furniture/equipment,3496,greater 1000,between 1 and 4 years,4,male single,none,2,car,34,stores,own,1,skilled,2,yes,yes,good
no checking,48,all paid,business,3609,less 100,between 1 and 4 years,1,female div/dep/mar,none,1,real estate,27,stores,own,1,skilled,1,none,yes,good
less 0,12,critical/other existing credit,new car,4843,less 100,greater 7 years,3,male single,co applicant,4,life insurance,43,none,rent,2,skilled,1,yes,yes,bad
greater 200,30,critical/other existing credit,radio/tv,3017,less 100,greater 7 years,4,male single,none,4,life insurance,47,none,own,1,skilled,1,none,yes,good
no checking,24,critical/other existing credit,business,4139,between 100 and 500,between 1 and 4 years,3,male single,none,3,life insurance,27,none,own,2,unskilled resident,1,yes,yes,good
no checking,36,existing paid,business,5742,between 100 and 500,between 4 and 7 years,2,male single,none,2,car,31,none,own,2,skilled,1,yes,yes,good
no checking,60,existing paid,new car,10366,less 100,greater 7 years,2,male single,none,4,life insurance,42,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,6,critical/other existing credit,new car,2080,between 500 and 1000,between 1 and 4 years,1,male mar/wid,none,2,car,24,none,own,1,skilled,1,none,yes,good
no checking,21,delayed previously,business,2580,between 500 and 1000,less 1 year,4,male single,none,2,real estate,41,bank,own,1,unskilled resident,2,none,yes,bad
no checking,30,critical/other existing credit,radio/tv,4530,less 100,between 4 and 7 years,4,female div/dep/mar,none,4,car,26,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,24,critical/other existing credit,furniture/equipment,5150,less 100,greater 7 years,4,male single,none,4,car,33,none,own,1,skilled,1,yes,yes,good
between 0 and 200,72,existing paid,radio/tv,5595,between 100 and 500,between 1 and 4 years,2,male mar/wid,none,2,car,24,none,own,1,skilled,1,none,yes,bad
less 0,24,existing paid,radio/tv,2384,less 100,greater 7 years,4,male single,none,4,real estate,64,bank,rent,1,unskilled resident,1,none,yes,good
no checking,18,existing paid,radio/tv,1453,less 100,less 1 year,3,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,none,yes,good
no checking,6,existing paid,education,1538,less 100,less 1 year,1,female div/dep/mar,none,2,no known property,56,none,own,1,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,2279,no known savings,between 1 and 4 years,4,male single,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,good
no checking,15,delayed previously,radio/tv,1478,less 100,between 1 and 4 years,4,male mar/wid,none,3,real estate,33,bank,own,2,skilled,1,none,yes,good
no checking,24,critical/other existing credit,radio/tv,5103,less 100,less 1 year,3,male mar/wid,none,3,no known property,47,none,for free,3,skilled,1,yes,yes,good
between 0 and 200,36,delayed previously,business,9857,between 100 and 500,between 4 and 7 years,1,male single,none,3,life insurance,31,none,own,2,unskilled resident,2,yes,yes,good
no checking,60,existing paid,new car,6527,no known savings,between 1 and 4 years,4,male single,none,4,no known property,34,none,for free,1,skilled,2,yes,yes,good
greater 200,10,critical/other existing credit,radio/tv,1347,no known savings,between 4 and 7 years,4,male single,none,2,life insurance,27,none,own,2,skilled,1,yes,yes,good
between 0 and 200,36,delayed previously,new car,2862,between 100 and 500,greater 7 years,4,male single,none,3,no known property,30,none,for free,1,skilled,1,none,yes,good
no checking,9,existing paid,radio/tv,2753,between 100 and 500,greater 7 years,3,male single,co applicant,4,car,35,none,own,1,skilled,1,yes,yes,good
less 0,12,existing paid,new car,3651,greater 1000,between 1 and 4 years,1,male single,none,3,life insurance,31,none,own,1,skilled,2,none,yes,good
less 0,15,critical/other existing credit,furniture/equipment,975,less 100,between 1 and 4 years,2,male div/sep,none,3,life insurance,25,none,own,2,skilled,1,none,yes,good
between 0 and 200,15,existing paid,repairs,2631,between 100 and 500,between 1 and 4 years,3,female div/dep/mar,none,2,real estate,25,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,24,existing paid,radio/tv,2896,between 100 and 500,less 1 year,2,male single,none,1,car,29,none,own,1,skilled,1,none,yes,good
less 0,6,critical/other existing credit,new car,4716,no known savings,less 1 year,1,male single,none,3,real estate,44,none,own,2,unskilled resident,2,none,yes,good
no checking,24,existing paid,radio/tv,2284,less 100,between 4 and 7 years,4,male single,none,2,car,28,none,own,1,skilled,1,yes,yes,good
no checking,6,existing paid,used car,1236,between 500 and 1000,between 1 and 4 years,2,male single,none,4,life insurance,50,none,rent,1,skilled,1,none,yes,good
between 0 and 200,12,existing paid,radio/tv,1103,less 100,between 4 and 7 years,4,male single,guarantor,3,real estate,29,none,own,2,skilled,1,none,no,good
no checking,12,critical/other existing credit,new car,926,less 100,unemployed,1,female div/dep/mar,none,2,life insurance,38,none,own,1,unemp/unskilled non res,1,none,yes,good
no checking,18,critical/other existing credit,radio/tv,1800,less 100,between 1 and 4 years,4,male single,none,2,car,24,none,own,2,skilled,1,none,yes,good
greater 200,15,existing paid,education,1905,less 100,greater 7 years,4,male single,none,4,car,40,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,furniture/equipment,1123,between 500 and 1000,between 1 and 4 years,4,female div/dep/mar,none,4,car,29,none,rent,1,unskilled resident,1,none,yes,bad
less 0,48,critical/other existing credit,used car,6331,less 100,greater 7 years,4,male single,none,4,no known property,46,none,for free,2,skilled,1,yes,yes,bad
greater 200,24,existing paid,radio/tv,1377,between 100 and 500,greater 7 years,4,female div/dep/mar,none,2,no known property,47,none,for free,1,skilled,1,yes,yes,good
between 0 and 200,30,delayed previously,business,2503,between 100 and 500,greater 7 years,4,male single,none,2,life insurance,41,stores,own,2,skilled,1,none,yes,good
between 0 and 200,27,existing paid,business,2528,less 100,less 1 year,4,female div/dep/mar,none,1,life insurance,32,none,own,1,skilled,2,yes,yes,good
no checking,15,existing paid,new car,5324,between 500 and 1000,greater 7 years,1,female div/dep/mar,none,4,no known property,35,none,for free,1,skilled,1,none,yes,good
between 0 and 200,48,existing paid,new car,6560,between 100 and 500,between 4 and 7 years,3,male single,none,2,life insurance,24,none,own,1,skilled,1,none,yes,bad
between 0 and 200,12,no credits/all paid,furniture/equipment,2969,less 100,less 1 year,4,female div/dep/mar,none,3,life insurance,25,none,rent,2,skilled,1,none,yes,bad
between 0 and 200,9,existing paid,radio/tv,1206,less 100,greater 7 years,4,female div/dep/mar,none,4,real estate,25,none,own,1,skilled,1,none,yes,good
between 0 and 200,9,existing paid,radio/tv,2118,less 100,between 1 and 4 years,2,male single,none,2,real estate,37,none,own,1,unskilled resident,2,none,yes,good
no checking,18,critical/other existing credit,radio/tv,629,between 500 and 1000,greater 7 years,4,male single,none,3,life insurance,32,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
less 0,6,all paid,education,1198,less 100,greater 7 years,4,female div/dep/mar,none,4,no known property,35,none,for free,1,skilled,1,none,yes,bad
no checking,21,existing paid,used car,2476,no known savings,greater 7 years,4,male single,none,4,real estate,46,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
less 0,9,critical/other existing credit,radio/tv,1138,less 100,between 1 and 4 years,4,male single,none,4,real estate,25,none,own,2,unskilled resident,1,none,yes,good
between 0 and 200,60,existing paid,new car,14027,less 100,between 4 and 7 years,4,male single,none,2,no known property,27,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,30,critical/other existing credit,used car,7596,no known savings,greater 7 years,1,male single,none,4,car,63,none,own,2,skilled,1,none,yes,good
no checking,30,critical/other existing credit,radio/tv,3077,no known savings,greater 7 years,3,male single,none,2,car,40,none,own,2,skilled,2,yes,yes,good
no checking,18,existing paid,radio/tv,1505,less 100,between 1 and 4 years,4,male single,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
greater 200,24,critical/other existing credit,radio/tv,3148,no known savings,between 1 and 4 years,3,male single,none,2,car,31,none,own,2,skilled,1,yes,yes,good
between 0 and 200,20,no credits/all paid,used car,6148,between 100 and 500,greater 7 years,3,male mar/wid,none,4,car,31,bank,own,2,skilled,1,yes,yes,good
greater 200,9,no credits/all paid,radio/tv,1337,less 100,less 1 year,4,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
between 0 and 200,6,all paid,education,433,greater 1000,less 1 year,4,female div/dep/mar,none,2,life insurance,24,bank,rent,1,skilled,2,none,yes,bad
less 0,12,existing paid,new car,1228,less 100,between 1 and 4 years,4,female div/dep/mar,none,2,real estate,24,none,own,1,unskilled resident,1,none,yes,bad
between 0 and 200,9,existing paid,radio/tv,790,between 500 and 1000,between 1 and 4 years,4,female div/dep/mar,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,good
no checking,27,existing paid,new car,2570,less 100,between 1 and 4 years,3,female div/dep/mar,none,3,real estate,21,none,rent,1,skilled,1,none,yes,bad
no checking,6,critical/other existing credit,new car,250,greater 1000,between 1 and 4 years,2,female div/dep/mar,none,2,real estate,41,bank,own,2,unskilled resident,1,none,yes,good
no checking,15,critical/other existing credit,radio/tv,1316,between 500 and 1000,between 1 and 4 years,2,male mar/wid,none,2,life insurance,47,none,own,2,unskilled resident,1,none,yes,good
less 0,18,existing paid,radio/tv,1882,less 100,between 1 and 4 years,4,female div/dep/mar,none,4,car,25,bank,rent,2,skilled,1,none,yes,bad
between 0 and 200,48,all paid,business,6416,less 100,greater 7 years,4,female div/dep/mar,none,3,no known property,59,none,rent,1,skilled,1,none,yes,bad
greater 200,24,critical/other existing credit,business,1275,greater 1000,between 1 and 4 years,2,male div/sep,none,4,real estate,36,none,own,2,skilled,1,yes,yes,good
between 0 and 200,24,delayed previously,radio/tv,6403,less 100,less 1 year,1,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
less 0,24,existing paid,radio/tv,1987,less 100,between 1 and 4 years,2,male single,none,4,real estate,21,none,rent,1,unskilled resident,2,none,yes,bad
between 0 and 200,8,existing paid,radio/tv,760,less 100,between 4 and 7 years,4,female div/dep/mar,guarantor,2,real estate,44,none,own,1,unskilled resident,1,none,yes,good
no checking,24,existing paid,used car,2603,greater 1000,between 1 and 4 years,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,yes,yes,good
no checking,4,critical/other existing credit,new car,3380,less 100,between 4 and 7 years,1,female div/dep/mar,none,1,real estate,37,none,own,1,skilled,2,none,yes,good
between 0 and 200,36,all paid,domestic appliance,3990,no known savings,less 1 year,3,female div/dep/mar,none,2,no known property,29,bank,own,1,unemp/unskilled non res,1,none,yes,good
between 0 and 200,24,existing paid,used car,11560,less 100,between 1 and 4 years,1,female div/dep/mar,none,4,car,23,none,rent,2,high qualif/self emp/mgmt,1,none,yes,bad
less 0,18,existing paid,new car,4380,between 100 and 500,between 1 and 4 years,3,male single,none,4,car,35,none,own,1,unskilled resident,2,yes,yes,good
no checking,6,critical/other existing credit,new car,6761,less 100,between 4 and 7 years,1,male single,none,3,no known property,45,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
between 0 and 200,30,no credits/all paid,business,4280,between 100 and 500,between 1 and 4 years,4,female div/dep/mar,none,4,car,26,none,rent,2,unskilled resident,1,none,yes,bad
less 0,24,all paid,new car,2325,between 100 and 500,between 4 and 7 years,2,male single,none,3,car,32,bank,own,1,skilled,1,none,yes,good
between 0 and 200,10,all paid,radio/tv,1048,less 100,between 1 and 4 years,4,male single,none,4,real estate,23,stores,own,1,unskilled resident,1,none,yes,good
no checking,21,existing paid,radio/tv,3160,no known savings,greater 7 years,4,male single,none,3,life insurance,41,none,own,1,skilled,1,yes,yes,good
less 0,24,all paid,furniture/equipment,2483,between 500 and 1000,between 1 and 4 years,4,male single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,good
less 0,39,critical/other existing credit,furniture/equipment,14179,no known savings,between 4 and 7 years,4,male single,none,4,life insurance,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
less 0,13,critical/other existing credit,business,1797,less 100,less 1 year,3,male single,none,1,life insurance,28,bank,own,2,unskilled resident,1,none,yes,good
less 0,15,existing paid,new car,2511,less 100,unemployed,1,female div/dep/mar,none,4,car,23,none,rent,1,skilled,1,none,yes,good
less 0,12,existing paid,new car,1274,less 100,less 1 year,3,female div/dep/mar,none,1,real estate,37,none,own,1,unskilled resident,1,none,yes,bad
