,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
458,less 0,12.0,no credits/all paid,repairs,1108.0,less 100,between 4 and 7 years,4.0,male single,none,3.0,real estate,28.0,none,own,2.0,skilled,1.0,none,yes,bad
459,no checking,24.0,existing paid,radio/tv,3621.0,between 100 and 500,greater 7 years,2.0,male single,none,4.0,car,31.0,none,own,2.0,skilled,1.0,none,yes,bad
460,no checking,24.0,critical/other existing credit,furniture/equipment,3777.0,greater 1000,between 1 and 4 years,4.0,male single,none,4.0,real estate,50.0,none,own,1.0,skilled,1.0,yes,yes,good
461,less 0,10.0,critical/other existing credit,new car,2241.0,less 100,less 1 year,1.0,male single,none,3.0,real estate,48.0,none,rent,2.0,unskilled resident,2.0,none,no,good
462,between 0 and 200,15.0,critical/other existing credit,business,2326.0,between 500 and 1000,between 1 and 4 years,2.0,male single,none,4.0,car,27.0,bank,own,1.0,skilled,1.0,none,yes,good
463,no checking,18.0,critical/other existing credit,radio/tv,1799.9999999999998,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,24.0,none,own,2.0,skilled,1.0,none,yes,good
464,no checking,12.0,existing paid,radio/tv,2141.0,between 100 and 500,between 4 and 7 years,3.0,male single,none,1.0,no known property,35.0,none,own,1.0,skilled,1.0,none,yes,good
465,between 0 and 200,12.0,existing paid,furniture/equipment,2762.0,no known savings,greater 7 years,1.0,female div/dep/mar,none,2.0,life insurance,25.0,bank,own,1.0,skilled,1.0,yes,yes,bad
466,no checking,9.0,critical/other existing credit,radio/tv,3074.0,no known savings,between 1 and 4 years,1.0,male single,none,2.0,real estate,33.0,none,own,2.0,skilled,2.0,none,yes,good
467,greater 200,36.0,existing paid,radio/tv,4473.0,less 100,greater 7 years,4.0,male single,none,2.0,car,31.0,none,own,1.0,skilled,1.0,none,yes,good
468,no checking,15.0,critical/other existing credit,radio/tv,1315.9999999999998,between 500 and 1000,between 1 and 4 years,2.0,male mar/wid,none,2.0,life insurance,47.0,none,own,2.0,unskilled resident,1.0,none,yes,good
469,between 0 and 200,36.0,critical/other existing credit,radio/tv,2337.0,less 100,greater 7 years,4.0,male single,none,4.0,real estate,36.0,none,own,1.0,skilled,1.0,none,yes,good
470,no checking,15.0,existing paid,furniture/equipment,2221.0,between 500 and 1000,between 1 and 4 years,2.0,female div/dep/mar,none,4.0,car,20.0,none,rent,1.0,skilled,1.0,none,yes,good
471,no checking,12.0,critical/other existing credit,radio/tv,618.0,less 100,greater 7 years,4.0,male single,none,4.0,real estate,56.0,none,own,1.0,skilled,1.0,none,yes,good
472,greater 200,30.0,delayed previously,business,1908.0,less 100,greater 7 years,4.0,male single,none,4.0,real estate,66.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
473,less 0,24.0,existing paid,furniture/equipment,4169.0,less 100,between 1 and 4 years,4.0,male single,none,4.0,life insurance,28.0,none,own,1.0,skilled,1.0,none,yes,good
474,greater 200,24.0,existing paid,radio/tv,1377.0,between 100 and 500,greater 7 years,4.0,female div/dep/mar,none,2.0,no known property,47.0,none,for free,1.0,skilled,1.0,yes,yes,good
475,less 0,48.0,critical/other existing credit,used car,6331.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,46.0,none,for free,2.0,skilled,1.0,yes,yes,bad
476,between 0 and 200,12.0,existing paid,new car,685.0,less 100,between 4 and 7 years,2.0,male mar/wid,none,3.0,car,25.0,bank,own,1.0,unskilled resident,1.0,none,yes,bad
477,no checking,6.000000000000002,existing paid,used car,1236.0,between 500 and 1000,between 1 and 4 years,2.0,male single,none,4.0,life insurance,50.0,none,rent,1.0,skilled,1.0,none,yes,good
478,between 0 and 200,48.0,existing paid,new car,8487.0,no known savings,between 4 and 7 years,1.0,female div/dep/mar,none,2.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,good
479,no checking,15.0,existing paid,used car,4657.0,less 100,between 1 and 4 years,3.0,male single,none,2.0,car,30.0,none,own,1.0,skilled,1.0,yes,yes,good
480,between 0 and 200,27.0,existing paid,business,2528.0,less 100,less 1 year,4.0,female div/dep/mar,none,1.0,life insurance,32.0,none,own,1.0,skilled,2.0,yes,yes,good
481,between 0 and 200,18.0,critical/other existing credit,furniture/equipment,7374.0,less 100,unemployed,4.0,male single,none,4.0,life insurance,40.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
482,less 0,24.0,all paid,furniture/equipment,2828.0,between 500 and 1000,between 1 and 4 years,4.0,male single,none,4.0,real estate,22.0,stores,own,1.0,skilled,1.0,yes,yes,good
483,no checking,36.0,critical/other existing credit,business,6304.0,no known savings,greater 7 years,4.0,male single,none,4.0,real estate,36.0,none,own,2.0,skilled,1.0,none,yes,good
484,between 0 and 200,60.0,delayed previously,radio/tv,7418.0,no known savings,between 1 and 4 years,1.0,male single,none,1.0,real estate,27.0,none,own,1.0,unskilled resident,1.0,none,yes,good
485,less 0,36.0,existing paid,education,1977.0,no known savings,greater 7 years,4.0,male single,none,4.0,no known property,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
486,no checking,11.0,critical/other existing credit,radio/tv,1154.0,between 100 and 500,unemployed,4.0,female div/dep/mar,none,4.0,real estate,57.0,none,own,3.0,unskilled resident,1.0,none,yes,good
487,between 0 and 200,12.0,existing paid,radio/tv,1092.0,less 100,between 1 and 4 years,4.0,female div/dep/mar,guarantor,4.0,real estate,49.0,none,own,2.0,skilled,1.0,yes,yes,good
488,greater 200,15.0,existing paid,business,2687.0,less 100,between 4 and 7 years,2.0,male single,none,4.0,life insurance,26.0,none,rent,1.0,skilled,1.0,yes,yes,good
489,no checking,12.0,critical/other existing credit,furniture/equipment,1258.0,less 100,less 1 year,2.0,female div/dep/mar,none,4.0,life insurance,22.0,none,rent,2.0,unskilled resident,1.0,none,yes,good
490,less 0,13.325693993947976,critical/other existing credit,education,3264.540351205943,less 100,greater 7 years,3.0,male single,none,4.0,no known property,41.23240800806936,none,for free,2.0,skilled,1.0,yes,yes,bad
491,less 0,52.84603405269649,existing paid,education,4830.9756020658515,less 100,between 1 and 4 years,4.0,male single,none,4.0,no known property,37.230689368464326,none,for free,1.0,skilled,1.5961638289419593,none,yes,bad
492,between 0 and 200,35.61064651734611,delayed previously,business,1950.0798488800958,less 100,greater 7 years,4.0,male single,none,4.0,no known property,61.3244612355449,none,own,1.0,skilled,1.0,yes,yes,bad
493,between 0 and 200,11.238253758196965,existing paid,radio/tv,709.842400487682,less 100,between 1 and 4 years,4.0,male single,none,1.7460845860656553,car,30.0,none,own,1.0,skilled,1.0,none,yes,bad
494,less 0,12.0,existing paid,new car,1887.7828328211897,less 100,greater 7 years,3.2468760628386013,male single,none,3.2468760628386013,car,58.27186756012979,none,own,1.7531239371613987,skilled,1.0,none,yes,bad
495,less 0,12.0,existing paid,repairs,781.4332960381389,less 100,between 1 and 4 years,4.0,male single,none,2.3036957271602114,car,29.39260854567958,none,own,1.3036957271602116,skilled,1.0,none,yes,bad
496,between 0 and 200,39.4527529209067,existing paid,business,9469.24556354206,less 100,between 1 and 4 years,1.712270589924442,male single,none,1.287729410075558,car,24.575458820151116,none,own,1.0,skilled,1.0,yes,yes,bad
497,less 0,23.221303949301,existing paid,furniture/equipment,12427.363697499499,less 100,greater 7 years,4.0,male single,none,3.7038261400932004,no known property,29.4076522801864,none,for free,1.1480869299533998,high qualif/self emp/mgmt,1.0,yes,yes,bad
498,less 0,6.018076119608466,all paid,new car,4620.867301791271,less 100,less 1 year,1.0,male single,none,4.0,life insurance,32.029373694363755,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
499,less 0,31.19794174304487,existing paid,furniture/equipment,3096.431441570686,less 100,between 1 and 4 years,2.0,male single,none,2.266781014275285,life insurance,41.26678101427528,none,own,1.0,skilled,1.733218985724715,none,yes,bad
500,between 0 and 200,47.719379469991836,existing paid,radio/tv,7052.130820348213,less 100,less 1 year,1.023385044167347,male single,none,1.0,car,33.76614955832653,none,own,1.976614955832653,skilled,1.0,yes,yes,bad
501,less 0,24.0,existing paid,new car,1320.349183145368,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,29.122740906772382,none,rent,1.0,skilled,1.0,none,yes,bad
502,between 0 and 200,11.900847801298356,existing paid,radio/tv,1459.5755083864947,less 100,between 1 and 4 years,2.0330507329005485,female div/dep/mar,none,1.0330507329005485,life insurance,25.099152198701645,none,own,1.0,skilled,1.0,none,yes,bad
503,between 0 and 200,56.28170995264039,existing paid,radio/tv,5828.154635702501,less 100,between 1 and 4 years,2.0,female div/dep/mar,none,2.0,car,22.690142496053365,none,own,1.0,skilled,1.0,yes,yes,bad
504,between 0 and 200,16.90305403410409,all paid,new car,6601.334272877066,between 100 and 500,greater 7 years,1.6343513447013638,female div/dep/mar,none,3.2687026894027276,life insurance,37.17175672350682,none,own,1.6343513447013638,high qualif/self emp/mgmt,2.0,yes,yes,bad
505,less 0,31.915767290671397,existing paid,radio/tv,7066.750708075639,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,27.361410903109537,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
506,less 0,20.81439250009718,existing paid,new car,1597.7678533214125,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.469065416682866,none,rent,1.0,skilled,1.0,none,yes,bad
507,less 0,17.3733979748771,existing paid,new car,1982.105041624069,less 100,unemployed,4.0,male single,none,1.4477831645730916,real estate,28.522168354269084,none,own,1.0,unskilled resident,1.5522168354269084,none,yes,bad
508,less 0,20.682641465572033,existing paid,new car,1211.9760378016422,less 100,less 1 year,4.0,female div/dep/mar,none,3.447106910928672,real estate,23.44710691092867,none,rent,1.0,skilled,1.0,none,yes,bad
509,less 0,16.887639313447277,existing paid,new car,1199.6432371271364,less 100,less 1 year,4.0,male single,none,2.5926967238793934,real estate,34.1095491418091,none,own,2.0,skilled,1.4073032761206066,none,yes,bad
510,less 0,29.51488004200371,existing paid,radio/tv,1873.6412839273469,less 100,less 1 year,4.0,male single,none,3.0,car,30.808533263327153,none,own,1.9191466736672846,unskilled resident,1.0,none,yes,bad
511,between 0 and 200,63.128293054526296,existing paid,radio/tv,5951.716550099255,less 100,between 1 and 4 years,2.3696544560614043,female div/dep/mar,none,2.0,real estate,24.0,none,own,1.0,skilled,1.0,yes,yes,bad
512,less 0,12.726479814832278,critical/other existing credit,furniture/equipment,3978.004700473035,less 100,greater 7 years,3.0,male single,none,4.0,life insurance,42.031360246890294,none,own,2.0,skilled,1.0,yes,yes,bad
513,less 0,18.0,existing paid,new car,2169.4656779805255,less 100,between 1 and 4 years,1.8031397563798959,female div/dep/mar,none,2.0,car,22.196860243620105,none,own,1.0,skilled,1.0,none,yes,bad
514,less 0,24.0,existing paid,furniture/equipment,3814.4277540208896,less 100,greater 7 years,3.0,male single,none,4.0,life insurance,25.118797462215845,bank,own,1.4703006344460383,skilled,1.4703006344460383,none,yes,bad
515,between 0 and 200,9.149191731946413,existing paid,new car,1494.4939748096313,less 100,between 1 and 4 years,4.0,male single,none,1.983423140894843,car,22.049730577315472,none,own,1.0,skilled,1.0,none,yes,bad
516,less 0,14.387068866890083,existing paid,repairs,1219.2611289928832,less 100,greater 7 years,1.398824442444553,female div/dep/mar,none,4.0,life insurance,44.410580017999024,none,own,1.0,skilled,2.0,none,yes,bad
517,between 0 and 200,12.0,existing paid,radio/tv,2527.3999339743727,less 100,less 1 year,1.183568126780616,female div/dep/mar,none,1.816431873219384,life insurance,25.0,none,own,1.0,skilled,1.0,none,yes,bad
518,no checking,10.209929250092692,existing paid,new car,1341.6813044895566,less 100,greater 7 years,4.0,male single,none,2.201654875015449,car,25.024823125231734,none,own,1.0,unskilled resident,1.201654875015449,none,yes,bad
519,between 0 and 200,48.0,existing paid,business,9355.773366242593,less 100,between 1 and 4 years,1.1507175439654294,male single,none,2.0,car,25.397129824138283,none,own,1.0,skilled,1.0,yes,yes,bad
520,less 0,24.0,existing paid,new car,1810.047186561503,less 100,less 1 year,4.0,male single,none,1.5081987767407186,real estate,43.98360244651856,none,own,1.5081987767407186,unskilled resident,1.5081987767407186,none,yes,bad
521,between 0 and 200,20.349753681490583,existing paid,new car,1121.2832507842618,no known savings,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,life insurance,23.0,none,own,1.0,skilled,1.0,none,yes,bad
522,less 0,14.15015282888232,critical/other existing credit,repairs,1251.8784386498521,less 100,greater 7 years,3.1416411951862804,male single,none,3.8583588048137196,no known property,38.00851163369604,none,for free,2.0,skilled,1.1416411951862802,none,yes,bad
523,less 0,56.08849313757738,no credits/all paid,business,6558.871850222766,less 100,greater 7 years,3.674041094798115,male single,none,4.0,no known property,45.58554795722073,none,for free,1.3259589052018848,skilled,1.3259589052018848,none,yes,bad
524,less 0,13.32144628539329,existing paid,furniture/equipment,640.0539877067422,less 100,unemployed,4.0,female div/dep/mar,none,1.0,real estate,26.220241047565548,none,own,1.0,skilled,1.0,none,yes,bad
525,less 0,48.0,existing paid,education,5943.956297957857,less 100,greater 7 years,3.0,male single,none,4.0,no known property,53.288850467561986,none,own,1.711149532438018,skilled,1.711149532438018,none,yes,bad
526,less 0,23.428503138419146,critical/other existing credit,new car,1497.7023596529264,less 100,greater 7 years,4.0,male single,none,3.619002092279431,car,60.190498953860285,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
527,no checking,25.816008152499247,critical/other existing credit,furniture/equipment,4165.33874895085,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,28.0,none,own,1.6513340127082707,high qualif/self emp/mgmt,1.0,yes,yes,bad
528,between 0 and 200,23.422940693451476,existing paid,new car,1328.1347746320735,less 100,between 1 and 4 years,4.0,male single,none,2.0,real estate,24.34647171527989,none,own,1.0,unskilled resident,1.0,none,yes,bad
529,less 0,12.356860413062375,existing paid,furniture/equipment,1537.4048014544112,less 100,between 4 and 7 years,2.0,male single,none,3.0,car,36.35686041306238,none,own,1.0,skilled,1.0,none,yes,bad
530,between 0 and 200,12.0,existing paid,new car,798.2306579966853,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.397572021087522,life insurance,22.602427978912477,none,own,1.0,skilled,1.0,none,yes,bad
531,less 0,14.893491896835119,critical/other existing credit,new car,1378.9792429425302,less 100,greater 7 years,3.03550270105496,male single,none,4.0,no known property,55.0,none,for free,2.48224864947252,skilled,2.0,none,yes,bad
532,between 0 and 200,48.0,existing paid,radio/tv,6725.866600969651,less 100,between 1 and 4 years,3.0,male single,none,2.0,car,29.863970741351295,none,own,1.0,skilled,1.0,none,yes,bad
533,less 0,16.054140702235685,existing paid,radio/tv,1091.1300084510553,less 100,less 1 year,1.3243098829607192,male mar/wid,none,1.6756901170392808,car,22.67569011703928,none,own,1.0,skilled,1.0,none,yes,bad
534,less 0,20.822593430889267,existing paid,new car,1598.9569130520508,less 100,unemployed,4.0,male single,none,1.7352161192407722,real estate,25.64783880759228,none,own,1.0,unskilled resident,1.2647838807592278,none,yes,bad
535,between 0 and 200,13.25442972442628,existing paid,new car,840.3090198504142,less 100,less 1 year,4.0,female div/dep/mar,none,3.0,life insurance,22.209071620737713,none,own,1.0,skilled,1.0,none,yes,bad
536,less 0,18.0,existing paid,furniture/equipment,3242.914100571655,less 100,between 1 and 4 years,2.0,male single,none,2.0,car,28.419728366414077,none,own,1.458552026172434,skilled,1.458552026172434,none,yes,bad
537,between 0 and 200,39.65058720785901,existing paid,business,9480.604548851239,less 100,between 1 and 4 years,1.695784399345082,male single,none,1.304215600654918,car,24.608431201309834,none,own,1.0,skilled,1.0,yes,yes,bad
538,no checking,9.7714499782027,existing paid,new car,1875.174218066956,less 100,between 1 and 4 years,2.2285500217972998,female div/dep/mar,none,2.0,car,25.685650065391897,none,own,1.0,skilled,1.0,none,yes,bad
539,between 0 and 200,33.900540874848765,delayed previously,new car,1821.083984969664,less 100,greater 7 years,4.0,male single,none,4.0,no known property,60.82504507290406,none,own,1.174954927095936,skilled,1.0,yes,yes,bad
540,between 0 and 200,12.106989940023386,existing paid,new car,690.1890120911344,less 100,between 1 and 4 years,1.9821683433294357,female div/dep/mar,none,2.9821683433294357,car,24.96433668665887,none,own,1.0,skilled,1.0,none,yes,bad
541,no checking,10.450092326186958,critical/other existing credit,new car,1027.6469704134493,less 100,unemployed,4.0,male single,none,2.0,car,39.80036930474783,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
542,less 0,22.435024951017546,existing paid,radio/tv,1543.4526755501288,less 100,less 1 year,4.0,female div/dep/mar,none,2.260829174830409,car,27.435024951017546,none,own,1.0,unskilled resident,1.0,yes,yes,bad
543,less 0,9.0,existing paid,radio/tv,1474.9130486005295,less 100,between 1 and 4 years,4.0,male single,none,2.0037463002420757,car,22.022477801452453,none,own,1.0,unskilled resident,1.0,none,yes,bad
544,between 0 and 200,45.103741946133624,existing paid,radio/tv,4808.729296762129,less 100,between 1 and 4 years,3.9654193512887934,female div/dep/mar,none,2.0,car,24.965419351288794,none,own,1.9654193512887936,skilled,1.0,none,yes,bad
545,between 0 and 200,14.02464108246388,existing paid,new car,1798.1150607714676,less 100,between 1 and 4 years,1.5582934536070976,female div/dep/mar,none,2.0,car,25.09194582475032,none,own,1.0,skilled,1.0,none,yes,bad
546,between 0 and 200,9.35209097043198,existing paid,new car,908.3761801415258,no known savings,between 1 and 4 years,4.0,female div/dep/mar,none,1.1173636568106602,life insurance,29.17845440232538,none,own,1.0,skilled,1.0,none,yes,bad
547,between 0 and 200,21.735514699903447,existing paid,new car,862.9168380977794,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,29.18870710834138,none,own,1.0,skilled,1.0,none,yes,bad
548,less 0,27.346456231106185,existing paid,furniture/equipment,3729.619475064264,less 100,greater 7 years,3.2788713525921818,male single,none,4.0,real estate,25.230970820737454,none,rent,1.7211286474078182,skilled,1.7211286474078182,none,yes,bad
549,less 0,38.80143131989109,existing paid,education,4745.795371456212,less 100,greater 7 years,4.0,male single,none,3.2996421700272287,no known property,29.996421700272286,bank,own,1.0,skilled,1.0,yes,yes,bad
550,between 0 and 200,11.539983426714917,existing paid,business,655.2539189227396,less 100,between 1 and 4 years,3.8466611422383057,female div/dep/mar,none,2.0,car,29.69332228447661,none,own,1.0,unskilled resident,1.0,none,yes,bad
551,less 0,18.862054248731443,existing paid,new car,1076.4821699492577,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,32.856324291878096,none,own,1.0,unskilled resident,1.0,none,yes,bad
552,less 0,28.85409752546628,critical/other existing credit,furniture/equipment,10753.050314170436,less 100,greater 7 years,3.59549187287781,female div/dep/mar,none,2.0,no known property,36.314345584678385,none,own,1.40450812712219,high qualif/self emp/mgmt,1.0,yes,yes,bad
553,no checking,24.0,existing paid,furniture/equipment,2419.94355709108,less 100,greater 7 years,4.0,male single,none,1.1122299012390402,car,44.32662059256576,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
554,less 0,13.788858614789849,existing paid,radio/tv,755.9575386382335,less 100,greater 7 years,4.0,male single,none,4.0,car,55.65835603890761,none,own,1.0,skilled,1.0,none,yes,bad
555,less 0,23.613809965325686,existing paid,furniture/equipment,3406.275485501658,less 100,greater 7 years,4.0,male single,none,2.0643650057790524,life insurance,39.06436500577905,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
556,between 0 and 200,16.71204390668366,existing paid,new car,997.7801741294725,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,life insurance,30.853406511139436,none,own,1.0,skilled,1.0,none,yes,bad
557,between 0 and 200,13.986070471714628,existing paid,new car,781.3244178781592,less 100,between 1 and 4 years,1.6689882547142285,female div/dep/mar,none,2.6689882547142285,car,24.337976509428458,none,own,1.0,skilled,1.0,none,yes,bad
558,less 0,24.0,existing paid,new car,1275.7673940844213,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,24.419313378563544,none,rent,1.0,skilled,1.0,none,yes,bad
559,less 0,15.76630340062954,existing paid,new car,1128.6359342903147,less 100,between 1 and 4 years,1.3722827665617432,female div/dep/mar,none,2.0,car,24.11684829968523,none,own,1.0,skilled,1.0,none,yes,bad
560,greater 200,12.35919934525333,critical/other existing credit,new car,2182.780915235414,less 100,greater 7 years,2.9401334424577783,male single,none,3.0598665575422217,no known property,59.70066721228889,none,for free,2.0598665575422217,skilled,1.0598665575422217,none,yes,bad
561,between 0 and 200,9.079008489734047,existing paid,new car,1455.903959037711,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,22.210689305957462,none,own,1.0,skilled,1.0,none,yes,bad
562,less 0,18.44471122736281,critical/other existing credit,furniture/equipment,2619.0771721617803,less 100,greater 7 years,3.7160790252625344,male single,none,2.2839209747374656,car,60.71607902526253,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
563,no checking,11.08390841896682,existing paid,repairs,1220.9846283274258,less 100,between 1 and 4 years,4.0,male single,none,2.6946361396556067,car,26.16781683793364,none,own,1.6946361396556067,skilled,1.0,none,yes,bad
564,less 0,17.827365043034717,existing paid,furniture/equipment,1624.3576962782897,less 100,between 1 and 4 years,2.0,male single,none,4.0,real estate,20.48561375358623,none,rent,1.0,skilled,1.4856137535862266,none,yes,bad
565,less 0,17.381089715834968,existing paid,furniture/equipment,2501.566203237288,less 100,between 1 and 4 years,2.0,male single,none,3.4484241429862474,car,25.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
566,less 0,16.011085074778357,critical/other existing credit,new car,2632.4325426388896,less 100,greater 7 years,1.9944574626108207,male single,none,4.0,life insurance,42.944574626108206,bank,rent,1.0110850747783586,skilled,1.0,yes,yes,bad
567,less 0,10.35185050535469,existing paid,furniture/equipment,1263.2221333534096,less 100,greater 7 years,1.1759252526773454,female div/dep/mar,none,3.824074747322655,no known property,45.88889696787186,none,own,1.0,skilled,1.8240747473226546,none,yes,bad
568,less 0,12.108452181693124,no credits/all paid,furniture/equipment,972.2024015210059,less 100,less 1 year,4.0,male single,none,4.0,no known property,26.945773909153438,none,rent,3.9638492727689583,skilled,1.0,none,yes,bad
569,no checking,10.481681145550304,existing paid,repairs,1223.8983392229934,less 100,between 4 and 7 years,4.0,male single,none,2.4938937151834346,car,31.03663770889939,none,own,2.0,skilled,1.0,none,yes,bad
570,between 0 and 200,34.927063744672026,delayed previously,business,1944.9529780850403,less 100,greater 7 years,4.0,male single,none,4.0,no known property,61.89411354610664,none,own,1.0,skilled,1.0,yes,yes,bad
571,between 0 and 200,16.39762541499432,existing paid,radio/tv,1687.3901754434871,less 100,between 1 and 4 years,1.6335312154171402,female div/dep/mar,none,1.0,life insurance,23.900593646251423,none,own,1.0,skilled,1.0,none,yes,bad
572,between 0 and 200,12.0,existing paid,new car,1333.881407935428,less 100,between 1 and 4 years,1.7441705230565623,female div/dep/mar,none,2.4883410461131246,car,38.558294769434376,none,own,1.2558294769434377,skilled,1.0,none,yes,bad
573,less 0,16.325639545512775,existing paid,furniture/equipment,894.7935179573697,less 100,between 1 and 4 years,1.2790600757478707,female div/dep/mar,none,2.2790600757478705,car,23.558120151495743,none,own,1.0,unskilled resident,1.0,none,yes,bad
574,less 0,20.30327049777133,existing paid,new car,2388.0247785512593,less 100,less 1 year,4.0,male single,none,1.0,real estate,41.30327049777133,none,own,1.0,unskilled resident,1.3080607918523892,none,yes,bad
575,no checking,10.3723793083353,existing paid,repairs,861.6867353280754,less 100,between 1 and 4 years,4.0,male single,none,3.0,car,28.0,none,own,1.4574597694451006,skilled,1.0,none,yes,bad
576,less 0,12.0,existing paid,radio/tv,802.0104210142495,less 100,greater 7 years,4.0,male single,none,4.0,car,41.0,none,own,1.0,unskilled resident,2.0,none,yes,bad
577,less 0,55.635991418230745,existing paid,used car,6945.697309167575,less 100,greater 7 years,4.0,male single,none,4.0,no known property,39.63667381814105,none,for free,1.3636673818141047,skilled,1.0,none,yes,bad
578,less 0,28.497229088366495,delayed previously,new car,1686.5917523526637,less 100,greater 7 years,4.0,male single,none,4.0,real estate,61.491687265099486,none,own,1.0,unskilled resident,1.0,none,yes,bad
579,between 0 and 200,16.921549829273474,existing paid,new car,868.4002030427168,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,25.460774914636737,none,own,1.0,skilled,1.0,none,yes,bad
580,between 0 and 200,17.873357149650055,existing paid,new car,1049.260856753397,less 100,between 1 and 4 years,3.957785716550018,female div/dep/mar,none,2.0,life insurance,32.852250007925065,none,own,1.0,skilled,1.0,none,yes,bad
581,between 0 and 200,8.920452917756732,existing paid,radio/tv,1052.755768900015,less 100,greater 7 years,4.0,male single,none,4.0,car,44.079547082243266,none,own,1.0,unskilled resident,1.486742152959455,none,yes,bad
582,less 0,13.12681454737735,existing paid,new car,695.9980358548378,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,29.34269151402988,none,own,1.0,unskilled resident,1.0,none,yes,bad
583,less 0,18.0,existing paid,furniture/equipment,2045.3746198426124,less 100,less 1 year,4.0,female div/dep/mar,none,4.0,real estate,23.56560563448957,none,rent,1.5656056344895712,skilled,1.0,none,yes,bad
584,between 0 and 200,63.59811821532779,existing paid,radio/tv,6002.1411881489075,less 100,between 4 and 7 years,2.3500784076946757,female div/dep/mar,none,2.0,car,26.450548853862728,none,own,1.0,skilled,1.0,yes,yes,bad
585,less 0,43.74124034436677,existing paid,furniture/equipment,5308.453622435838,less 100,less 1 year,2.645103362030565,female div/dep/mar,none,4.0,car,23.645103362030564,none,own,1.3548966379694352,skilled,1.0,none,yes,bad
586,less 0,20.027088715957195,existing paid,repairs,1790.3558068736186,less 100,less 1 year,4.0,female div/dep/mar,none,3.6689240596631,real estate,24.331075940336902,none,rent,1.3310759403369004,skilled,1.0,none,yes,bad
587,less 0,21.96251347607855,existing paid,radio/tv,1196.697230865155,less 100,between 1 and 4 years,4.0,male single,none,2.135832434928097,car,31.456670260287613,none,own,1.0,unskilled resident,1.0,none,yes,bad
588,no checking,19.38111160944933,existing paid,radio/tv,2051.605513196807,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,28.230185268241556,none,own,1.0,skilled,1.0,none,yes,bad
589,between 0 and 200,10.492740418962772,existing paid,new car,10708.715007987985,less 100,between 1 and 4 years,1.0,male single,none,2.0,car,28.491127178732278,none,own,1.0,skilled,1.4991933798847523,yes,yes,bad
590,less 0,26.5679748047449,existing paid,radio/tv,1598.1056442436484,less 100,less 1 year,4.0,male single,none,3.0,car,35.72004199209183,none,own,1.427995800790817,unskilled resident,1.0,none,yes,bad
591,less 0,14.777351828324292,existing paid,furniture/equipment,2075.8294493620924,less 100,greater 7 years,4.0,male single,none,2.231445985693691,car,41.53710802861262,bank,own,1.768554014306309,high qualif/self emp/mgmt,1.0,yes,yes,bad
592,less 0,18.0,delayed previously,furniture/equipment,4164.4767547389465,less 100,between 1 and 4 years,2.0,male single,none,2.0436037717544338,car,36.2616226305266,none,own,1.9563962282455662,skilled,1.9563962282455662,none,yes,bad
593,less 0,6.016348467607976,no credits/all paid,repairs,1197.6621316694352,less 100,greater 7 years,4.0,male single,none,3.994550510797341,no known property,34.983651532392024,none,for free,1.0054494892026589,skilled,1.0054494892026589,none,yes,bad
594,no checking,26.459001251836973,existing paid,radio/tv,2723.534526509313,less 100,between 1 and 4 years,4.0,female div/dep/mar,none,2.0,car,28.0,none,own,1.0,skilled,1.0,none,yes,bad
595,less 0,18.709448203122207,critical/other existing credit,education,1742.3054290038283,less 100,greater 7 years,4.0,male single,none,4.0,no known property,55.55912068359352,none,own,2.0,skilled,1.7204396582032415,none,yes,bad
